_key,ल्युट्,अनीयर्,ण्वुल्,तुमुन्,तव्य,तृच्,क्त्वा,ल्यप्,क्तवतुँ,क्त,शतृँ,शानच्,शतृ
01.0050,सेधनम्,"सेधनीयः,सेधनीया","सेधकः,सेधिका","सेधितुम्,सेद्धुम्","सेधितव्यः,सेद्धव्यः,सेधितव्या,सेद्धव्या","सेधिता,सेद्धा,सेधित्री,सेद्ध्री","सेधित्वा,सिद्ध्वा,सिधित्वा",प्रसिध्य,"सिद्धवान्,सिद्धवती","सिद्धः,सिद्धा","सेधन्,सेधन्ती",,
01.0051,खादनम्,"खादनीयः,खादनीया","खादकः,खादिका",खादितुम्,"खादितव्यः,खादितव्या","खादिता,खादित्री",खादित्वा,प्रखाद्य,"खादितवान्,खादितवती","खादितः,खादिता","खादन्,खादन्ती",,
01.0052,खदनम्,"खदनीयः,खदनीया","खादकः,खादिका",खदितुम्,"खदितव्यः,खदितव्या","खदिता,खदित्री",खदित्वा,प्रखद्य,"खदितवान्,खदितवती","खदितः,खदिता","खदन्,खदन्ती",,
01.0053,बदनम्,"बदनीयः,बदनीया","बादकः,बादिका",बदितुम्,"बदितव्यः,बदितव्या","बदिता,बदित्री",बदित्वा,प्रबद्य,"बदितवान्,बदितवती","बदितः,बदिता","बदन्,बदन्ती",,
01.0054,गदनम्,"गदनीयः,गदनीया","गादकः,गादिका",गदितुम्,"गदितव्यः,गदितव्या","गदिता,गदित्री",गदित्वा,प्रगद्य,"गदितवान्,गदितवती","गदितः,गदिता","गदन्,गदन्ती",,
01.0055,रदनम्,"रदनीयः,रदनीया","रादकः,रादिका",रदितुम्,"रदितव्यः,रदितव्या","रदिता,रदित्री",रदित्वा,प्ररद्य,"रदितवान्,रदितवती","रदितः,रदिता","रदन्,रदन्ती",,
01.0056,नदनम्,"नदनीयः,नदनीया","नादकः,नादिका",नदितुम्,"नदितव्यः,नदितव्या","नदिता,नदित्री",नदित्वा,प्रणद्य,"नदितवान्,नदितवती","नदितः,नदिता","नदन्,नदन्ती",,
01.0057,अर्दनम्,"अर्दनीयः,अर्दनीया","अर्दकः,अर्दिका",अर्दितुम्,"अर्दितव्यः,अर्दितव्या","अर्दिता,अर्दित्री",अर्दित्वा,प्रार्द्य,"अर्दितवान्,अर्दितवती","अर्दितः,अर्दिता","अर्दन्,अर्दन्ती",,
01.0058,नर्दनम्,"नर्दनीयः,नर्दनीया","नर्दकः,नर्दिका",नर्दितुम्,"नर्दितव्यः,नर्दितव्या","नर्दिता,नर्दित्री",नर्दित्वा,प्रनर्द्य,"नर्दितवान्,नर्दितवती","नर्दितः,नर्दिता","नर्दन्,नर्दन्ती",,
01.0059,गर्दनम्,"गर्दनीयः,गर्दनीया","गर्दकः,गर्दिका",गर्दितुम्,"गर्दितव्यः,गर्दितव्या","गर्दिता,गर्दित्री",गर्दित्वा,प्रगर्द्य,"गर्दितवान्,गर्दितवती","गर्दितः,गर्दिता","गर्दन्,गर्दन्ती",,
01.0060,तर्दनम्,"तर्दनीयः,तर्दनीया","तर्दकः,तर्दिका",तर्दितुम्,"तर्दितव्यः,तर्दितव्या","तर्दिता,तर्दित्री",तर्दित्वा,प्रतर्द्य,"तर्दितवान्,तर्दितवती","तर्दितः,तर्दिता","तर्दन्,तर्दन्ती",,
01.0061,कर्दनम्,"कर्दनीयः,कर्दनीया","कर्दकः,कर्दिका",कर्दितुम्,"कर्दितव्यः,कर्दितव्या","कर्दिता,कर्दित्री",कर्दित्वा,प्रकर्द्य,"कर्दितवान्,कर्दितवती","कर्दितः,कर्दिता","कर्दन्,कर्दन्ती",,
01.0062,खर्दनम्,"खर्दनीयः,खर्दनीया","खर्दकः,खर्दिका",खर्दितुम्,"खर्दितव्यः,खर्दितव्या","खर्दिता,खर्दित्री",खर्दित्वा,प्रखर्द्य,"खर्दितवान्,खर्दितवती","खर्दितः,खर्दिता","खर्दन्,खर्दन्ती",,
01.0063,अन्तनम्,"अन्तनीयः,अन्तनीया","अन्तकः,अन्तिका",अन्तितुम्,"अन्तितव्यः,अन्तितव्या","अन्तिता,अन्तित्री",अन्तित्वा,प्रान्त्य,"अन्तितवान्,अन्तितवती","अन्तितः,अन्तिता","अन्तन्,अन्तन्ती",,
01.0064,अन्दनम्,"अन्दनीयः,अन्दनीया","अन्दकः,अन्दिका",अन्दितुम्,"अन्दितव्यः,अन्दितव्या","अन्दिता,अन्दित्री",अन्दित्वा,प्रान्द्य,"अन्दितवान्,अन्दितवती","अन्दितः,अन्दिता","अन्दन्,अन्दन्ती",,
01.0065,इन्दनम्,"इन्दनीयः,इन्दनीया","इन्दकः,इन्दिका",इन्दितुम्,"इन्दितव्यः,इन्दितव्या","इन्दिता,इन्दित्री",इन्दित्वा,प्र इन्द्य,"इन्दितवान्,इन्दितवती","इन्दितः,इन्दिता","इन्दन्,इन्दन्ती",,
01.0066,बिन्दनम्,"बिन्दनीयः,बिन्दनीया","बिन्दकः,बिन्दिका",बिन्दितुम्,"बिन्दितव्यः,बिन्दितव्या","बिन्दिता,बिन्दित्री",बिन्दित्वा,प्रबिन्द्य,"बिन्दितवान्,बिन्दितवती","बिन्दितः,बिन्दिता","बिन्दन्,बिन्दन्ती",,
01.0067,भिन्दनम्,"भिन्दनीयः,भिन्दनीया","भिन्दकः,भिन्दिका",भिन्दितुम्,"भिन्दितव्यः,भिन्दितव्या","भिन्दिता,भिन्दित्री",भिन्दित्वा,प्रभिन्द्य,"भिन्दितवान्,भिन्दितवती","भिन्दितः,भिन्दिता","भिन्दन्,भिन्दन्ती",,
01.0068,गण्डनम्,"गण्डनीयः,गण्डनीया","गण्डकः,गण्डिका",गण्डितुम्,"गण्डितव्यः,गण्डितव्या","गण्डिता,गण्डित्री",गण्डित्वा,प्रगण्ड्य,"गण्डितवान्,गण्डितवती","गण्डितः,गण्डिता","गण्डन्,गण्डन्ती",,
01.0069,निन्दनम्,"निन्दनीयः,निन्दनीया","निन्दकः,निन्दिका",निन्दितुम्,"निन्दितव्यः,निन्दितव्या","निन्दिता,निन्दित्री",निन्दित्वा,प्रणिन्द्य,"निन्दितवान्,निन्दितवती","निन्दितः,निन्दिता","निन्दन्,निन्दन्ती",,
01.0070,नन्दनम्,"नन्दनीयः,नन्दनीया","नन्दकः,नन्दिका",नन्दितुम्,"नन्दितव्यः,नन्दितव्या","नन्दिता,नन्दित्री",नन्दित्वा,प्रनन्द्य,"नन्दितवान्,नन्दितवती","नन्दितः,नन्दिता","नन्दन्,नन्दन्ती",,
01.0071,चन्दनम्,"चन्दनीयः,चन्दनीया","चन्दकः,चन्दिका",चन्दितुम्,"चन्दितव्यः,चन्दितव्या","चन्दिता,चन्दित्री",चन्दित्वा,प्रचन्द्य,"चन्दितवान्,चन्दितवती","चन्दितः,चन्दिता","चन्दन्,चन्दन्ती",,
01.0072,त्रन्दनम्,"त्रन्दनीयः,त्रन्दनीया","त्रन्दकः,त्रन्दिका",त्रन्दितुम्,"त्रन्दितव्यः,त्रन्दितव्या","त्रन्दिता,त्रन्दित्री",त्रन्दित्वा,प्रत्रन्द्य,"त्रन्दितवान्,त्रन्दितवती","त्रन्दितः,त्रन्दिता","त्रन्दन्,त्रन्दन्ती",,
01.0073,कन्दनम्,"कन्दनीयः,कन्दनीया","कन्दकः,कन्दिका",कन्दितुम्,"कन्दितव्यः,कन्दितव्या","कन्दिता,कन्दित्री",कन्दित्वा,प्रकन्द्य,"कन्दितवान्,कन्दितवती","कन्दितः,कन्दिता","कन्दन्,कन्दन्ती",,
01.0074,क्रन्दनम्,"क्रन्दनीयः,क्रन्दनीया","क्रन्दकः,क्रन्दिका",क्रन्दितुम्,"क्रन्दितव्यः,क्रन्दितव्या","क्रन्दिता,क्रन्दित्री",क्रन्दित्वा,प्रक्रन्द्य,"क्रन्दितवान्,क्रन्दितवती","क्रन्दितः,क्रन्दिता","क्रन्दन्,क्रन्दन्ती",,
01.0075,क्लन्दनम्,"क्लन्दनीयः,क्लन्दनीया","क्लन्दकः,क्लन्दिका",क्लन्दितुम्,"क्लन्दितव्यः,क्लन्दितव्या","क्लन्दिता,क्लन्दित्री",क्लन्दित्वा,प्रक्लन्द्य,"क्लन्दितवान्,क्लन्दितवती","क्लन्दितः,क्लन्दिता","क्लन्दन्,क्लन्दन्ती",,
01.0076,क्लिन्दनम्,"क्लिन्दनीयः,क्लिन्दनीया","क्लिन्दकः,क्लिन्दिका",क्लिन्दितुम्,"क्लिन्दितव्यः,क्लिन्दितव्या","क्लिन्दिता,क्लिन्दित्री",क्लिन्दित्वा,प्रक्लिन्द्य,"क्लिन्दितवान्,क्लिन्दितवती","क्लिन्दितः,क्लिन्दिता","क्लिन्दन्,क्लिन्दन्ती",,
01.0077,शुन्धनम्,"शुन्धनीयः,शुन्धनीया","शुन्धकः,शुन्धिका",शुन्धितुम्,"शुन्धितव्यः,शुन्धितव्या","शुन्धिता,शुन्धित्री",शुन्धित्वा,प्रशुध्य,"शुधितवान्,शुधितवती","शुधितः,शुधिता","शुन्धन्,शुन्धन्ती",,
01.0078,शीकनम्,"शीकनीयः,शीकनीया","शीककः,शीकिका",शीकितुम्,"शीकितव्यः,शीकितव्या","शीकिता,शीकित्री",शीकित्वा,प्रशीक्य,"शीकितवान्,शीकितवती","शीकितः,शीकिता",,"शीकमानः,शीकमाना",
01.0079,सीकनम्,"सीकनीयः,सीकनीया","सीककः,सीकिका",सीकितुम्,"सीकितव्यः,सीकितव्या","सीकिता,सीकित्री",सीकित्वा,प्रसीक्य,"सीकितवान्,सीकितवती","सीकितः,सीकिता",,"सीकमानः,सीकमाना",
01.0080,लोकनम्,"लोकनीयः,लोकनीया","लोककः,लोकिका",लोकितुम्,"लोकितव्यः,लोकितव्या","लोकिता,लोकित्री",लोकित्वा,प्रलोक्य,"लोकितवान्,लोकितवती","लोकितः,लोकिता",,"लोकमानः,लोकमाना",
01.0081,श्लोकनम्,"श्लोकनीयः,श्लोकनीया","श्लोककः,श्लोकिका",श्लोकितुम्,"श्लोकितव्यः,श्लोकितव्या","श्लोकिता,श्लोकित्री",श्लोकित्वा,प्रश्लोक्य,"श्लोकितवान्,श्लोकितवती","श्लोकितः,श्लोकिता",,"श्लोकमानः,श्लोकमाना",
01.0082,,,,,,,,,,,,,
